Player,Conference,Division,Team,Points,Games Played,Games Started,Minutes,Minutes/Game,Field Goals Made/Game,Field Goals Attempted,Points/Game,Field Goals Made,2 Points Attempted,Field Goals Attempted/Game,2 Points Made,2 Points Attempted/Game,Turnovers/Game,Turnovers,Free Throw Percentage,Free Throws Made/Game,Free Throws Made,Personal Fouls/Game,Points/Shot,2 Point Percentage,Field Goal Percentage,Adjusted Field Goal Percentage,Steals/Game,Offensive Rebounds,Offensive Rebounds/Game,Defensive Rebounds,Defensive Rebounds/Game,Total Rebounds,Total Rebounds/Game,Assists,Assists/Game,Steals,Blocks,Blocks/Game,Assists/Turnovers Ratio,Personal Fouls,Technical Fouls,Technical Fouls/Game,3 Points Made,3 Points Attempted,3 Points Made/Game,3 Points Attempted/Game,3 Point Percentage,Free Throws Attempted,Free Throws Attempted/Game,2 Points Made/Game
Terry,Eastern Conference,Central Division,Atlanta Hawks,1617,82,77,3089,37.7,7.3,1366,19.7,595,1052,16.7,471,1052,2.9,237,0.846,3.7,303,2.5,1.18,0.448,0.436,0.481,1.27,42,0.5,227,2.8,269,3.3,403,4.9,104,12,0.15,1.7,204,0,0,124,314,1.5,3.8,0.395,358,4.4,471
Johnson,Eastern Conference,Central Division,Atlanta Hawks,397,78,21,1313,16.8,1.9,390,5.1,146,263,5,105,263,1.2,93,0.736,0.8,64,1.7,1.02,0.399,0.374,0.427,0.55,56,0.7,122,1.6,178,2.3,64,0.8,43,30,0.38,0.69,134,0,0,41,127,0.5,1.6,0.323,87,1.1,105
Henderson,Eastern Conference,Central Division,Atlanta Hawks,769,73,42,1810,24.8,4.1,671,10.5,298,670,9.2,298,670,1.7,126,0.638,2.4,173,2.2,1.15,0.445,0.444,0.444,0.7,181,2.5,225,3.1,406,5.6,50,0.7,51,29,0.4,0.4,164,3,0,0,1,0,0,0,271,3.7,298
Mottola,Eastern Conference,Central Division,Atlanta Hawks,319,73,3,989,13.5,1.7,277,4.4,123,274,3.8,123,274,0.9,67,0.811,1,73,2.2,1.15,0.449,0.444,0.444,0.15,49,0.7,125,1.7,174,2.4,25,0.3,11,9,0.12,0.37,163,0,0,0,3,0,0,0,90,1.2,123
Wright,Eastern Conference,Central Division,Atlanta Hawks,881,71,46,1988,28,5.1,811,12.4,363,809,11.4,363,809,1.8,125,0.718,2.2,155,3.3,1.09,0.449,0.448,0.448,0.59,180,2.5,355,5,535,7.5,87,1.2,42,63,0.89,0.7,232,6,0.1,0,2,0,0,0,216,3,363
Glover,Eastern Conference,Central Division,Atlanta Hawks,340,57,7,929,16.3,2.5,337,6,142,291,5.9,133,291,0.9,54,0.681,0.8,47,1.6,1.01,0.457,0.421,0.435,0.86,39,0.7,92,1.6,131,2.3,69,1.2,49,10,0.18,1.28,92,1,0,9,46,0.2,0.8,0.196,69,1.2,133
Maloney,Eastern Conference,Central Division,Atlanta Hawks,369,55,27,1403,25.5,2.7,348,6.7,146,206,6.3,95,206,1.3,70,0.765,0.5,26,1.7,1.06,0.461,0.42,0.493,1.02,14,0.3,103,1.9,117,2.1,154,2.8,56,5,0.09,2.2,94,1,0,51,142,0.9,2.6,0.359,34,0.6,95
Crawford,Eastern Conference,Central Division,Atlanta Hawks,318,47,22,901,19.2,2.6,270,6.8,122,248,5.7,116,248,1.3,62,0.819,1.4,68,2.5,1.18,0.468,0.452,0.463,0.45,28,0.6,82,1.7,110,2.3,37,0.8,21,16,0.34,0.6,117,1,0,6,22,0.1,0.5,0.273,83,1.8,116
Bowdler,Eastern Conference,Central Division,Atlanta Hawks,140,44,0,375,8.5,1.2,114,3.2,53,109,2.6,52,109,0.2,11,0.825,0.8,33,1,1.23,0.477,0.465,0.469,0.23,30,0.7,47,1.1,77,1.8,4,0.1,10,21,0.48,0.36,45,0,0,1,5,0,0.1,0.2,40,0.9,52
Robinson,Eastern Conference,Central Division,Atlanta Hawks,199,33,1,631,19.1,2,184,6,67,68,5.6,23,68,0.7,24,0.875,0.6,21,1.4,1.08,0.338,0.364,0.484,0.85,23,0.7,64,1.9,87,2.6,36,1.1,28,2,0.06,1.5,46,0,0,44,116,1.3,3.5,0.379,24,0.7,23
